Provinsi/Kabupaten/Kota/Indonesia,,
,Rata-rata Lama Sekolah (RLS) menurut Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
Kepulauan Selayar,8.85,8.63
Bulukumba,8.76,8.61
Bantaeng,7.66,7.43
Jeneponto,6.99,7.02
Takalar,7.99,7.77
Gowa,8.67,8.45
Sinjai,8.14,7.97
Maros,8.78,7.99
Pangkajene dan Kepulauan,8.75,8.4
Barru,8.97,8.85
Bone,7.82,7.7
Soppeng,8.55,8.73
Wajo,7.84,7.35
Sidenreng Rappang,8.53,8.3
Pinrang,8.69,8.35
Enrekang,9.46,9
Luwu,9.01,8.9
Tana Toraja,9.07,8.83
Luwu Utara,8.7,8.34
Luwu Timur,9.17,9.04
Toraja Utara,8.94,8.6
Kota Makasar,11.8,11.55
Kota Parepare,11.2,10.79
Kota Palopo,11.31,11.13
SULAWESI TENGGARA,9.8,9.32
Buton,9.64,8.12
Muna,9.59,8.33
Konawe,10,9.66
Kolaka,9.76,9.35
Konawe Selatan,9.2,8.58
Bombana,8.5,8.2
Wakatobi,9.09,8.36
Kolaka Utara,8.82,9.22
Buton Utara,9.81,8.94
Konawe Utara,10.22,9.42
Kolaka Timur,8.69,8.3
Konawe Kepulauan,10.07,9.19
Muna Barat,8.91,7.77
Buton Tengah,7.75,6.47
Buton Selatan,8.28,7.52
Kota Kendari,12.94,12.14
Kota Baubau,11.34,11.05
GORONTALO,7.89,8.9
Boalemo,6.78,7.68
Gorontalo,7.45,8.53
Pohuwato,7.52,8.11
Bone Bolango,8.03,9.23
Gorontalo Utara,7.21,7.92
Kota Gorontalo,10.39,11.06
SULAWESI BARAT,8.52,8.23
Majene,9.71,9.53
Polewali Mandar,8.13,7.56
Mamasa,8.55,8.41
Mamuju,8.92,8.48
Mamuju Utara / Pasangkayu,8.4,8.14
Mamuju Tengah,8.33,8
MALUKU,10.54,10.48
Maluku Tenggara Barat / Kepulauan Tanimbar,10.07,9.93
Maluku Tenggara,10.19,9.85
Maluku Tengah,10.14,10.06
Buru,9.51,9.01
Kepulauan Aru,9.51,9.28
Seram Bagian Barat,9.65,9.54
Seram Bagian Timur,9.67,8.59
Maluku Barat Daya,9.47,9.29
Buru Selatan,9.11,8.42
Kota Ambon,12.35,12.4
Kota Tual,11.12,10.45
MALUKU UTARA,9.69,9.3
Halmahera Barat,9.11,8.52
Halmahera Tengah,9.57,9.04
Kepulauan Sula,9.58,9.17
Halmahera Selatan,8.8,8.09
Halmahera Utara,9.25,8.57
Halmahera Timur,9.35,8.84
Pulau Morotai,8.37,7.43
Pulau Taliabu,8.46,8.01
Kota Ternate,12.36,11.83
Kota Tidore Kepulauan,10.51,10.09
PAPUA BARAT,10.28,7.73
Fakfak,10.84,8.97
Kaimana,10.26,8.37
Teluk Wondama,9.81,7.54
Teluk Bintuni,9.93,8.73
Manokwari,11.18,8.89
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,10.18,6.71
Pegunungan Arfak,9.08,5.5
Kota Sorong,-,-
PAPUA BARAT DAYA,10.87,8.67
Raja Ampat,9.51,8.37
Sorong,9.74,8.81
Sorong Selatan,9.8,8.06
Maybrat,9.76,7.41
Tambrauw,8.18,5.78
Kota Sorong,11.74,11.57
PAPUA,10.4,9.91
Merauke,-,-
Jayawijaya,-,-
Jayapura,11,10.06
Nabire,-,-
Kepulauan Yapen,10.44,9.06
Biak Numfor,10.96,10.27
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,10.06,9.19
Keerom,9.09,8.27
Waropen,9.94,8.75
Supiori,9.87,8.55
Mamberamo Raya,7.1,5.32
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,12.4,11.91
PAPUA SELATAN,9.06,8.23
Merauke,9.78,9.35
Boven Digoel,9.77,8.88
Mappi,8.08,6.77
Asmat,7.06,5.41
PAPUA TENGAH,6.71,5.64
Mimika,10.82,10.45
Dogiyai,5.47,4.16
Deiyai,4.42,2.02
Nabire,10.66,10.05
Paniai,5.1,3.59
Intan Jaya,4.79,2.2
Puncak,2.79,1.66
Puncak Jaya,5.68,4.46
PAPUA PEGUNUNGAN,5.36,3.6
Nduga,2.95,2.19
Jayawijaya,7.19,5.55
Lanny Jaya,4.98,2.7
Tolikara,4.87,2.36
Mamberamo Tengah,5.56,3.26
Yalimo,5.61,3.83
Yahukimo,5.86,3.29
Pegunungan Bintang,5.5,2.89
INDONESIA,9.35,8.79
